month,avg_close,end_close,total_volume
2023-03,120.16,126.44,14979600
2023-04,134.78,123.67,36782600
2023-05,113.45,112.28,35558600
2023-06,111.05,112.44,39787400
2023-07,119.08,108.35,44093900
2023-08,99.53,97.34,37191400
2023-09,90.18,88.23,26519400
2023-10,86.07,89.32,27481700
2023-11,89.31,105.61,38118100
2023-12,102.34,93.41,25525400
2024-01,99.81,101.48,39938100
2024-02,111.27,122.25,29617800
2024-03,131.45,143.8,23267100
2024-04,128.29,124.37,22221000
2024-05,141.31,155.64,29724800
2024-06,152.95,145.94,23017600
2024-07,136.99,134.37,30055000
2024-08,135.5,146.17,27736300
2024-09,136.94,144.81,20304900
2024-10,133.52,107.82,34888700
2024-11,102.49,105.6,31637100
2024-12,110.78,109.53,26541200
2025-01,105.78,102.07,22839600
2025-02,100.86,99.57,42327600
2025-03,104.09,106.2,36186200
2025-04,95.92,96.42,43805600
2025-05,108.95,102.0,36519000
2025-06,100.92,101.28,26592800
2025-07,105.02,99.73,25362200
2025-08,86.34,87.2,61496200
2025-09,81.85,83.55,47639500
2025-10,83.0,81.69,42582400
2025-11,78.75,84.98,32503000
2025-12,88.53,85.52,30105100
2026-01,84.95,83.92,20143000
2026-02,91.64,90.71,30651900
2026-03,81.12,83.02,27155800
2026-04,95.0,103.05,14645134
