month,silhouette_key,articles
2010-12,crocband,1
2017-10,balenciaga_collab,2
2018-02,balenciaga_collab,1
2018-07,balenciaga_collab,1
2018-08,crocband,2
2018-11,classic_clog,1
2018-11,post_malone_collab,1
2019-05,crocband,1
2020-06,tulum_sandal,1
2020-08,heydude_other,1
2020-09,bad_bunny_collab,1
2020-09,classic_clog,1
2020-12,post_malone_collab,4
2021-02,post_malone_collab,1
2021-06,balenciaga_collab,2
2021-07,tulum_sandal,1
2021-10,balenciaga_collab,1
2021-10,classic_boot,1
2021-11,balenciaga_collab,2
2021-11,pollex_clog,1
2021-11,pollex_pod,2
2021-12,pollex_clog,1
2021-12,pollex_pod,1
2022-04,balenciaga_collab,1
2022-05,pollex_clog,4
2022-05,pollex_pod,4
2022-06,classic_clog,1
2022-07,steven_smith_line,1
2022-08,classic_cozzzy,1
2022-08,echo_clog,1
2022-08,pollex_pod,1
2022-09,classic_clog,1
2022-09,mellow_slide,4
2022-10,balenciaga_collab,1
2022-10,classic_clog,1
2022-10,mega_crush_clog,3
2022-10,pollex_clog,1
2022-10,pollex_pod,1
2022-11,echo_clog,1
2022-11,mega_crush_clog,1
2022-11,pollex_pod,1
2023-01,classic_clog,1
2023-01,echo_clog,1
2023-01,mega_crush_clog,2
2023-02,pollex_clog,1
2023-02,pollex_pod,1
2023-03,mega_crush_clog,3
2023-03,mega_crush_sandal,2
2023-04,pollex_clog,2
2023-04,pollex_pod,11
2023-05,pollex_pod,1
2023-06,dylan,1
2023-06,heydude_wally,1
2023-06,mschf_collab,1
2023-06,pollex_clog,5
2023-06,pollex_pod,5
2023-06,skyline,1
2023-07,classic_boot,8
2023-07,mega_crush_clog,4
2023-07,mellow_slide,4
2023-07,pollex_clog,2
2023-07,pollex_pod,5
2023-07,siren_slide,1
2023-07,skyline,1
2023-08,classic_boot,1
2023-08,mellow_slide,5
2023-08,pollex_clog,3
2023-08,pollex_pod,3
2023-09,echo_clog,3
2023-09,echo_storm,3
2023-09,pollex_pod,2
2023-10,classic_boot,1
2023-10,stomp_clog,1
2023-11,echo_storm,1
2023-11,mega_crush_clog,1
2023-11,pollex_clog,1
2023-11,pollex_pod,3
2023-12,classic_cozzzy,1
2023-12,mega_crush_clog,3
2023-12,mschf_collab,1
2024-01,echo_clog,1
2024-01,pollex_pod,2
2024-02,dylan,1
2024-02,echo_clog,2
2024-02,echo_storm,3
2024-02,pollex_clog,1
2024-02,pollex_pod,3
2024-03,balenciaga_collab,1
2024-03,echo_clog,1
2024-03,echo_storm,1
