publisher,article_count
hypebeast.com,75
Sole Retriever,74
Yahoo,65
SNKRDUNK,59
WWD,45
House of Heat°,45
Highsnobiety,42
USA Today,41
hypebae.com,39
NJ.com,38
Sneaker News,37
Complex,36
MassLive,30
Nice Kicks,22
Lyst,21
Sneaker Freaker,20
Syracuse.com,18
Billboard,18
Gear Patrol,18
Trend Hunter,16
New York Post,15
Cleveland.com,13
Sneaker Bar Detroit,13
People.com,13
SheKnows,12
Crocs,12
MLive.com,12
stupidDOPE,12
PennLive.com,12
Business Insider,12
Tom's Guide,11
JustFreshKicks,11
KicksOnFire.com,11
CNN,10
PR Newswire,10
Page Six,10
Vogue,10
aplusme.me,10
Refinery29,9
Country Living Magazine,9
TODAY.com,9
Sports Illustrated,8
Popsugar,8
Parade,7
CBS News,7
AL.com,7
SFGATE,7
HiConsumption,7
Teen Vogue,7
SILive.com,7
W Magazine,7
The New York Times,6
Digital Music News,6
abcnews.com,6
Agorà Notizia,6
Bustle,6
Forbes,6
dscene magazine,6
E! Online,6
Lifestyle Asia Hong Kong,6
nylon.com,6
PAPER Magazine,6
Rolling Stone,5
The Guardian,5
Essential Japan,5
PureWow,5
SGB Media Online,5
HOLA,5
The Mirror,5
OregonLive.com,5
Travel + Leisure,5
FashionNetwork USA,5
The Cut,5
V Magazine,5
TMZ,5
Yahoo Lifestyle Canada,4
Man of Many,4
Good Morning America,4
Luxferity,4
ComicBook.com,4
The Business Journals,4
FashionNetwork - The World's Fashion Business News,4
Grazia Daily UK,4
Manchester Evening News,4
Yanko Design,4
nssmag.com,4
Reviewed,4
Entertainment Tonight,4
FASHION Magazine,4
Wales Online,4
Daily Mail,4
Newsweek,4
Mashable,3
WDW News Today,3
Real Simple,3
Yahoo Finance,3
Nine,3
VICE,3
The Hollywood Reporter,3
MR Magazine,3
TheIndustry.fashion,3
thestreet.com,3
Scary Mommy,3
Elite Daily,3
Drapers,3
HELLO! Magazine,3
The Manual,3
PAUSE Online,3
HIGHXTAR.,3
the-sun.com,3
glamour.com,3
Straatosphere,3
Cosmopolitan,3
Us Weekly,3
hungermag.com,3
