query_label,query,published,published_month,title,publisher,link,silhouette_hits,brand,extracted_release_date,is_upcoming
sil_siren_slide,Crocs Siren,2024-04-03T07:00:00,2024-04,The Simone Rocha x Crocs Collection Releases April 2024 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMioAFBVV95cUxOOVFMVnp2VlN0WWp0eENyMjBJQVlCeXJJbFZHUWRJUG5YRk5NR0xwaERIcHlTQThkNlRfVjNqZnJaUGVFemVyQnREMXZ6dWFxZkZLaHFiR19pOTdldzFxNldiMDhYMXMyTk4tVzlHZjJYSWdaLU1pM0dEMnJUS0xWdWotcVI1OFVrdC1mSUlWdld4MGljeGhqTVBfdXhhZHRV?oc=5,,Crocs,2026-04-20,True
sil_pollex_clog,Crocs Pollex Clog,2025-04-04T07:00:00,2025-04,The Salehe Bembury x Nina Chanel Abney x Crocs Pollex Clog Releases April 2025 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMiygFBVV95cUxOZkdPY2Z3M3VVZTZtWHVtSEllYTJkVUVOMWNETW1fOUFaQ1VkWm5BZ0xNckFmU1p5MjRqdjg4eUEtcXpDczc5a2lSekU2N1dMRWRDdzR5TjBsVnllUlhEM1M4MGU0OGlvblFNQXcxbVpYNG5Md3pOQTJzRC1TQ3RGa3JndzYyMWFBNEctVjhWaC01X0VIMzg4NnpXVFExTzd4ZXFmUXBGc0dGWjQ0RGdkaTZtcHR1eGJ6b2xmaTZ2cGoxSVZkaEVzSTZB?oc=5,pollex_pod|pollex_clog,Crocs,2026-04-20,True
sil_pollex_pod,Crocs Pollex Pod,2024-04-29T07:00:00,2024-04,"Salehe Bembury x Crocs Pollex Juniper ""Guava"" Releases May 2024 - Sneaker Bar Detroit",Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMiakFVX3lxTE05clJnc3NiUnM5UnB0TTdVMXdyNTlpN1JIdDcxbXZNVjRyeVhoQ1I5V3JDU1ZYMXRWQy12bWZxLWI5WHJURlVXQ1hxdmlELTItUV9NQWtLYXRTQTREMmVHS1lxdGVxUFFhVXc?oc=5,pollex_pod,Crocs,2026-05-20,True
sil_pollex_pod,Crocs Pollex Pod,2024-01-31T08:00:00,2024-01,The Salehe Bembury x Crocs Pollex Slide Sasquatch Releases May 2024 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMiowFBVV95cUxNb3ZSSElUdXNtM0ktSnVUYWNSeXpaalB4UGF2MXQzVV9VenZYMVJkLXF4aUV1SHlTTnc2TUdIMV8zak5uSmZFa1NFQnhnTFFUV0hISkdtczdPamtpRkNMSDN1UVVHeEFfd0g0MnJKY3hxX0J6NzlzMFlmSVV3Q21DelJhMGUwZENlV3JTN0M3NDZ0YXlNX0VsRWtoQmtzSTR3akdj?oc=5,pollex_pod,Crocs,2026-05-20,True
sil_echo_wave,Crocs Echo Wave,2025-05-13T07:00:00,2025-05,G-SHOCK x Crocs Echo Wave Releases May 2025 - Sneaker Bar Detroit,Sneaker Bar Detroit,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1yb2h5T29qM0labGQyQWh0aUk4WWI2b1U0UGVUQl9YX1lLc1NNdUJVdGFsWHhwVjI0aDJ2WWFLQlhXczZIUXAwX2tFX1VSVFp3Qm1wUGZNN3pyTF80X3JmRVBGMms?oc=5,echo_clog|echo_wave,Crocs,2026-05-20,True
sil_pollex_clog,Crocs Pollex Clog,2025-05-22T07:00:00,2025-05,"Salehe Bembury's Crocs Juniper ""Apricot"" Releases May 22 - House of Heat°",House of Heat°,https://news.google.com/rss/articles/CBMihAFBVV95cUxOdVFycHFDWHliRjVlbmhtWE9zcEYtcTRyNy00R2ZRdXB1OXgtM3l6c01jTW9WdThDT08xNk9JbXJJMXBqekthV3VGUlNvTGNVWF9LSHkzZDJqWlJKZm5wYjdSVFJqS21MaXh1eGpiVmxfWUxhV2RwTEdqV1liNFlQSUlONDk?oc=5,,Crocs,2026-05-22,True
sil_echo_clog,Crocs Echo Clog,2025-05-13T07:00:00,2025-05,G-SHOCK by Casio x Crocs Echo Wave Releases May 27 - House of Heat°,House of Heat°,https://news.google.com/rss/articles/CBMieEFVX3lxTE0tWE5QQ0YyaThKOG0wWm9tWGRSQS11VVFScW1oZHFhdDlqQWlUX0xBTWk0c0tVWFAwam9JSUFCNDhsLWZiMWkwNkd6c0pNSklSTEdRTmVpcGg4UERCaUdoZERISTJfMHc1dXhRNndsR0I2UkstVDV5Mw?oc=5,echo_clog|echo_wave,Crocs,2026-05-27,True
sil_pollex_clog,Crocs Pollex Clog,2025-06-05T07:00:00,2025-06,"Salehe Bembury's ""Tree Camo"" Crocs Pollex Clog Releases June 5 - House of Heat°",House of Heat°,https://news.google.com/rss/articles/CBMie0FVX3lxTE5KYVRZSVBmRURldHRqaFhyanJjaGlUUzZmRWc5U01Zc25CWnhEczI3eW95RVNrY3hzQTB0UUZnZnRLZzZackNfOVkzWTh6T1FYbGtSTXZpdjJVeG1USER6VzhieHRuZWRwUUVxUEdWc0xQQnZIT3RuQ3N5Yw?oc=5,pollex_pod|pollex_clog,Crocs,2026-06-05,True
sil_dylan,Crocs Dylan,2024-06-25T07:00:00,2024-06,3sixteen's Crocs Dylan Clog Releases June 2024 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMimgFBVV95cUxQMFVEZ2wzQXAwVV9KeUJ6b3l5Q2I1QXIyNkVCdUxCU1dWX05vN1BmZjAxelgwV1NHWWhCZHQ4akw5cFM2ZnRCX256YUZQaVpxMDVtQnZrZTgzRjZnaDNnRkVvbzZEaXhWc3hueEJaSE9rZ2llNWViM09McExLaUoyMlVvV3Z5VTVmd3ZHOWh4all4QjFCUnBpNllB?oc=5,dylan,Crocs,2026-06-20,True
sil_classic_cozzzy,Crocs Cozzzy,2024-04-26T07:00:00,2024-04,The Frosted Flakes x Crocs Cozzzy Sandal Releases June 2024 - Sole Retriever,Sole Retriever,https://news.google.com/rss/articles/CBMiowFBVV95cUxQdWwxLTBJRGFnOUFiTDdTRnl4cWpXa0dqMDY3b1ZoSHVpWDR2Q2YxMzdiQmtTWFpYZGxZdUwzM29BLXpkeG5PaTc2NV9ZeWs4anFPQnJwYVlWVmNsWjFjNWpmbmZ3ZXpKSGdXenhmNXdTeDRVT0h3YW9YWmpzSU5TSUw0QWQtZDlfZUdpNWlDcGtVWDIwWU8taVRyc01qSXVHajMw?oc=5,classic_cozzzy,Crocs,2026-06-20,True
