silhouette_key,avg_interest_90d,rank_within_crocs
echo_clog,56.0,1
bayaband,54.53846153846154,2
crocband,53.46153846153846,3
mellow_slide,51.15384615384615,4
classic_clog,50.46153846153846,5
heydude_wendy,44.61538461538461,6
heydude_wally,41.15384615384615,7
echo_wave,40.76923076923077,8
stomp_clog,19.53846153846154,9
skyline,9.538461538461538,10
mega_crush_clog,8.692307692307692,11
steven_smith_line,7.769230769230769,12
pollex_pod,4.923076923076923,13
pollex_clog,2.4615384615384617,14
mega_crush_sandal,1.6153846153846154,15
stomp_boot,0.0,16
