month,silhouette_key,uploads,total_views,total_likes
2023-01,bayaband,2,97688,1714
2023-01,classic_clog,1,5353,39
2023-01,crocband,2,4033,32
2023-02,crocband,1,782,5
2023-03,bayaband,2,20107,148
2023-03,classic_clog,2,2882,71
2023-04,bayaband,3,1009,3
2023-04,classic_clog,1,23396,80
2023-04,crocband,2,1015,4
2023-05,bayaband,1,2448,0
2023-05,crocband,5,3165,37
2023-06,bayaband,6,216437,839
2023-06,crocband,1,3205,24
2023-07,bayaband,4,4787,38
2023-07,crocband,4,10848,184
2023-08,bayaband,4,16981,309
2023-08,crocband,3,5554,29
2023-09,classic_clog,3,2620,23
2023-09,crocband,2,1796,9
2023-10,bayaband,3,1793,31
2023-10,classic_clog,1,489,6
2023-10,crocband,2,4282,21
2023-11,crocband,1,117,7
2023-12,classic_clog,4,424761,3611
2024-02,bayaband,1,77978,991
2024-03,classic_clog,3,5540,43
2024-03,crocband,2,9914,84
2024-03,tulum_sandal,1,0,0
2024-04,classic_clog,1,363,3
2024-04,crocband,1,347,0
2024-05,bayaband,1,53521,301
2024-05,classic_clog,2,3726,41
2024-06,classic_clog,3,5444,63
2024-06,crocband,1,849,6
2024-07,bayaband,5,4533,56
2024-07,classic_clog,2,937,15
2024-07,crocband,2,176,1
2024-08,bayaband,4,528612,3612
2024-09,bayaband,2,22747,8
2024-09,classic_clog,1,9936,177
2024-09,crocband,6,2110,15
2024-10,bayaband,1,258,7
2024-10,crocband,1,160,0
2024-11,bayaband,2,50850,499
2024-12,bayaband,2,39029,298
2024-12,classic_clog,2,192533,2171
2024-12,crocband,1,517,3
2025-01,bayaband,5,131045,1436
2025-01,classic_clog,1,480,12
2025-02,bayaband,3,14862,107
2025-02,classic_clog,2,78994,340
2025-03,bayaband,2,2780,34
2025-03,classic_clog,4,8101,69
2025-04,bayaband,3,7378,14
2025-04,classic_clog,5,335786,2363
2025-04,crocband,3,2556,32
2025-05,bayaband,5,20271,103
2025-05,classic_clog,5,4986,26
2025-05,crocband,1,2505,16
2025-06,bayaband,10,70171,489
2025-06,classic_clog,5,52953,380
2025-06,crocband,5,5466,28
2025-07,bayaband,10,294583,2211
2025-07,classic_clog,7,14208,86
2025-07,crocband,6,1902,4
2025-08,bayaband,8,17551,99
2025-08,classic_clog,5,10438,201
2025-08,crocband,2,440,5
2025-09,bayaband,5,4261,20
2025-09,classic_clog,10,34271,139
2025-09,crocband,8,4420,30
2025-10,bayaband,2,1347,11
2025-10,classic_clog,6,3547,40
2025-11,classic_clog,5,1751,19
2025-11,crocband,1,107,0
2025-12,classic_clog,1,2159,65
2026-01,bayaband,1,104,3
2026-02,bayaband,2,1221,10
2026-02,classic_clog,1,458,3
2026-02,crocband,5,2523,26
2026-03,crocband,5,7579,105
2026-04,bayaband,1,9299,207
2026-04,crocband,2,612,7
